timestamp;x;y;z
1432029756835210;0.310547;0.539551;0.835938
1432029756858228;0.313477;0.540527;0.844238
1432029756875306;0.308105;0.538086;0.835938
1432029756895309;0.305664;0.546875;0.839355
1432029756910380;0.312012;0.541992;0.84082
1432029756934461;0.307129;0.53418;0.841309
1432029756955475;0.305664;0.53418;0.835449
1432029756970452;0.316406;0.543457;0.844727
1432029757009546;0.310547;0.544922;0.838867
1432029757017603;0.303711;0.540039;0.837402
1432029757040615;0.132813;0.532715;0.797363
1432029757055666;-0.18457;0.543457;0.333496
1432029757075624;0.79834;0.624023;1.37256
1432029757091635;0.472656;0.618652;0.629883
1432029757113698;-0.172363;0.439941;0.27002
1432029757143761;0.000976563;0.430176;0.880371
1432029757153713;0.782715;0.637695;1.40137
1432029757173727;0.479492;0.630859;0.649414
1432029757195809;-0.22168;0.415039;0.334961
1432029757210857;0.286133;0.485352;1.17627
1432029757232952;0.824707;0.668457;1.22119
1432029757255973;0.0688477;0.526367;0.330078
1432029757270984;-0.127441;0.405273;0.6875
1432029757292946;0.739258;0.616211;1.39893
1432029757316023;0.460938;0.624023;0.626465
1432029757331033;-0.20459;0.408203;0.426758
1432029757353081;0.567383;0.550293;1.3584
1432029757376046;0.65332;0.665527;0.87793
1432029757391056;-0.20166;0.444336;0.320801
1432029757413101;0.412109;0.521484;1.27979
1432029757436090;0.703125;0.663574;0.970703
1432029757451119;-0.20166;0.442871;0.30957
1432029757473115;0.374023;0.506836;1.25098
1432029757496187;0.719238;0.671387;0.975586
1432029757511171;-0.213379;0.442871;0.325195
1432029757533162;0.440918;0.52002;1.29541
1432029757556178;0.659668;0.651367;0.896973
1432029757571241;-0.217285;0.420898;0.342285
1432029757593219;0.515625;0.534668;1.33105
1432029757616361;0.615723;0.652344;0.822754
1432029757630493;-0.228027;0.407227;0.37793
1432029757653462;0.586914;0.553223;1.37012
1432029757675515;0.524414;0.631348;0.710938
1432029757690545;-0.20752;0.404297;0.48877
1432029757713597;0.714844;0.600098;1.39453
1432029757735577;0.381348;0.607422;0.576172
1432029757750645;-0.183594;0.400391;0.561523
1432029757773713;0.772949;0.612305;1.40771
1432029757795673;0.203613;0.572754;0.428711
1432029757810666;-0.0551758;0.409668;0.789551
1432029757833873;0.839355;0.654785;1.29834
1432029757855826;-0.0454102;0.489258;0.301758
1432029757869849;0.200195;0.447266;1.08105
1432029757893892;0.786621;0.669922;1.09131
1432029757915937;-0.19043;0.447266;0.289551
1432029757929943;0.430176;0.512695;1.27051
1432029757953908;0.636719;0.652344;0.867676
1432029757976026;-0.232422;0.404785;0.382813
1432029757990036;0.602539;0.560547;1.37402
1432029758013001;0.490723;0.619141;0.686035
1432029758036047;-0.211914;0.391602;0.498047
1432029758050079;0.703125;0.592773;1.41162
1432029758073273;0.427734;0.616211;0.61084
1432029758096294;-0.208984;0.400391;0.505371
1432029758110359;0.6875;0.592285;1.41309
1432029758132452;0.421875;0.616211;0.616211
1432029758155732;-0.175293;0.399414;0.581055
1432029758170679;0.768066;0.621582;1.40381
1432029758192764;0.303223;0.585449;0.496094
1432029758215711;-0.171387;0.39502;0.622559
1432029758230726;0.737305;0.610352;1.41455
1432029758260832;-0.169434;0.458496;0.686523
1432029758275037;0.288086;0.536621;0.826172
1432029758290001;0.318848;0.536621;0.833984
1432029758314012;0.304199;0.534668;0.835938
1432029758335033;0.305664;0.534668;0.844727
1432029758350744;0.308105;0.533691;0.838379
1432029758372783;0.307617;0.533203;0.843262
1432029758395787;0.302734;0.537109;0.844727
1432029758409854;0.304199;0.539063;0.838379
1432029758432819;0.302246;0.532715;0.838379
1432029758455002;0.301758;0.529297;0.84082
1432029758469967;0.299805;0.529785;0.844727
1432029758501074;0.30127;0.53418;0.836426
1432029758515064;0.300293;0.532227;0.839844
1432029758530140;0.306641;0.536621;0.842773
1432029758553116;0.302734;0.532715;0.846191
1432029758575171;0.295898;0.527832;0.847168
1432029758590115;0.297852;0.529785;0.84668
1432029758613267;0.304199;0.528809;0.847168
1432029758635300;0.306152;0.537109;0.852539
1432029758650308;0.306152;0.533203;0.847656
1432029758672373;0.306641;0.533203;0.849121
1432029758695344;0.300293;0.533691;0.850586
1432029758710355;0.300781;0.53418;0.849121
1432029758732418;0.29834;0.531738;0.840332
1432029758755519;0.300293;0.529785;0.841309
1432029758770559;0.304688;0.526855;0.849121
1432029758792357;0.300293;0.529785;0.840332
1432029758815392;0.304199;0.532715;0.839844
1432029758830402;0.304688;0.530762;0.844238
1432029758852593;0.306152;0.533203;0.843262
1432029758875799;0.302246;0.530273;0.842773
